cantidad,cantidad_solicitada,cliente,costo,dia,dias_entrega,egreso,ingreso,inventario_disponible,penalizacion,politica_anterior,politica_nueva,producto,proveedor,razon,tipo
13,,Ferretería El Tornillo,1.3,60,,,5.2,,,,,PROD003,,,VENTA
11,,Taller Mecánico López,3.3,60,,,9.9,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,60,,,18.0,,,,,PROD004,,,VENTA
33,,Almacén Central (Interno),16.5,60,,,39.6,,,,,PROD001,,,VENTA
29,,Almacén Central (Interno),8.7,60,,,26.1,,,,,PROD002,,,VENTA
24,,Almacén Central (Interno),1.2,60,,,3.5999999999999996,,,,,PROD005,,,VENTA
225,,Ferreterías del Norte,22.5,60,,,90.0,,,,,PROD003,,,VENTA
299,,Ferreterías del Norte,14.95,60,,,44.85,,,,,PROD005,,,VENTA
108,,,32.4,60,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,60,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
300,,,,60,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
96,,,,60,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
108,,,32.4,61,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,61,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
,12,Taller Mecánico López,,62,,,,6,70.0,,,PROD002,,,DESABASTECIMIENTO
12,,Taller Mecánico López,8.448000000000002,62,,,24.0,,,,,PROD004,,,VENTA
108,,,32.4,62,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,62,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
90,,,,62,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,62,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
17,,Ferretería El Tornillo,8.5,63,,,20.4,,,,,PROD001,,,VENTA
,12,Ferretería El Tornillo,,63,,,,6,80.0,,,PROD002,,,DESABASTECIMIENTO
7,,Ferretería El Tornillo,0.7000000000000001,63,,,2.8000000000000003,,,,,PROD003,,,VENTA
74,,Construcciones Pérez,37.0,63,,,88.8,,,,,PROD001,,,VENTA
110,,Construcciones Pérez,11.0,63,,,44.0,,,,,PROD003,,,VENTA
75,,Construcciones Pérez,52.80000000000002,63,,,150.0,,,,,PROD004,,,VENTA
111,,Construcciones Pérez,5.550000000000001,63,,,16.65,,,,,PROD005,,,VENTA
108,,,32.4,63,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,63,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
108,,,,63,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,63,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
5,,Taller Mecánico López,1.5,64,,,4.5,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,64,,,16.0,,,,,PROD004,,,VENTA
108,,,,64,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,64,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
33,,Almacén Central (Interno),16.5,65,,,39.6,,,,,PROD001,,,VENTA
32,,Almacén Central (Interno),9.6,65,,,28.8,,,,,PROD002,,,VENTA
25,,Almacén Central (Interno),1.25,65,,,3.75,,,,,PROD005,,,VENTA
108,,,,65,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,65,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
15,,Ferretería El Tornillo,7.5,66,,,18.0,,,,,PROD001,,,VENTA
19,,Ferretería El Tornillo,5.7,66,,,17.1,,,,,PROD002,,,VENTA
12,,Ferretería El Tornillo,1.2000000000000002,66,,,4.800000000000001,,,,,PROD003,,,VENTA
11,,Taller Mecánico López,3.3,66,,,9.9,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,66,,,22.0,,,,,PROD004,,,VENTA
108,,,,66,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
12,,Taller Mecánico López,3.5999999999999996,68,,,10.8,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,68,,,22.0,,,,,PROD004,,,VENTA
10,,Ferretería El Tornillo,5.0,69,,,12.0,,,,,PROD001,,,VENTA
19,,Ferretería El Tornillo,5.7,69,,,17.1,,,,,PROD002,,,VENTA
20,,Ferretería El Tornillo,2.0,69,,,8.0,,,,,PROD003,,,VENTA
,86,Construcciones Pérez,,70,,,,79,90.0,,,PROD001,,,DESABASTECIMIENTO
64,,Construcciones Pérez,6.4,70,,,25.6,,,,,PROD003,,,VENTA
100,,Construcciones Pérez,70.40000000000002,70,,,200.0,,,,,PROD004,,,VENTA
92,,Construcciones Pérez,4.6000000000000005,70,,,13.799999999999999,,,,,PROD005,,,VENTA
11,,Taller Mecánico López,3.3,70,,,9.9,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,70,,,20.0,,,,,PROD004,,,VENTA
22,,Almacén Central (Interno),11.0,70,,,26.4,,,,,PROD001,,,VENTA
29,,Almacén Central (Interno),8.7,70,,,26.1,,,,,PROD002,,,VENTA
29,,Almacén Central (Interno),1.4500000000000002,70,,,4.35,,,,,PROD005,,,VENTA
188,,Ferreterías del Norte,18.8,70,,,75.2,,,,,PROD003,,,VENTA
136,,Ferreterías del Norte,6.800000000000001,70,,,20.4,,,,,PROD005,,,VENTA
10,,Ferretería El Tornillo,5.0,72,,,12.0,,,,,PROD001,,,VENTA
14,,Ferretería El Tornillo,4.2,72,,,12.6,,,,,PROD002,,,VENTA
10,,Ferretería El Tornillo,1.0,72,,,4.0,,,,,PROD003,,,VENTA
12,,Taller Mecánico López,3.5999999999999996,72,,,10.8,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,72,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,72,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,45.0,73,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
12,,Taller Mecánico López,3.5999999999999996,74,,,10.8,,,,,PROD002,,,VENTA
13,,Taller Mecánico López,9.152000000000003,74,,,26.0,,,,,PROD004,,,VENTA
90,,,45.0,74,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,,74,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
19,,Ferretería El Tornillo,9.5,75,,,22.8,,,,,PROD001,,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,75,,,16.2,,,,,PROD002,,,VENTA
19,,Ferretería El Tornillo,1.9000000000000001,75,,,7.6000000000000005,,,,,PROD003,,,VENTA
35,,Almacén Central (Interno),17.5,75,,,42.0,,,,,PROD001,,,VENTA
21,,Almacén Central (Interno),6.3,75,,,18.900000000000002,,,,,PROD002,,,VENTA
37,,Almacén Central (Interno),1.85,75,,,5.55,,,,,PROD005,,,VENTA
120,,,12.0,75,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
90,,,,75,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
13,,Taller Mecánico López,3.9,76,,,11.700000000000001,,,,,PROD002,,,VENTA
13,,Taller Mecánico López,9.152000000000003,76,,,26.0,,,,,PROD004,,,VENTA
120,,,12.0,76,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
90,,,,76,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
63,,Construcciones Pérez,31.5,77,,,75.6,,,,,PROD001,,,VENTA
,151,Construcciones Pérez,,77,,,,96,90.0,,,PROD003,,,DESABASTECIMIENTO
,72,Construcciones Pérez,,77,,,,41,90.0,,,PROD004,,,DESABASTECIMIENTO
108,,Construcciones Pérez,5.4,77,,,16.2,,,,,PROD005,,,VENTA
120,,,12.0,77,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
120,,,,77,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
17,,Ferretería El Tornillo,8.5,78,,,20.4,,,,,PROD001,,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,78,,,10.8,,,,,PROD002,,,VENTA
11,,Ferretería El Tornillo,1.1,78,,,4.4,,,,,PROD003,,,VENTA
9,,Taller Mecánico López,2.6999999999999997,78,,,8.1,,,,,PROD002,,,VENTA
12,,Taller Mecánico López,8.448000000000002,78,,,24.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,78,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
120,,,,78,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,67.58400000000002,79,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
120,,,,79,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
10,,Taller Mecánico López,3.0,80,,,9.0,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,80,,,16.0,,,,,PROD004,,,VENTA
34,,Almacén Central (Interno),17.0,80,,,40.8,,,,,PROD001,,,VENTA
31,,Almacén Central (Interno),9.299999999999999,80,,,27.900000000000002,,,,,PROD002,,,VENTA
22,,Almacén Central (Interno),1.1,80,,,3.3,,,,,PROD005,,,VENTA
310,,Ferreterías del Norte,31.0,80,,,124.0,,,,,PROD003,,,VENTA
26,,Ferreterías del Norte,1.3,80,,,3.9,,,,,PROD005,,,VENTA
96,,,67.58400000000002,80,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
96,,,,80,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
13,,Ferretería El Tornillo,6.5,81,,,15.6,,,,,PROD001,,,VENTA
3,,Ferretería El Tornillo,0.8999999999999999,81,,,2.7,,,,,PROD002,,,VENTA
20,,Ferretería El Tornillo,2.0,81,,,8.0,,,,,PROD003,,,VENTA
96,,,,81,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
7,,Taller Mecánico López,2.1,82,,,6.3,,,,,PROD002,,,VENTA
13,,Taller Mecánico López,9.152000000000003,82,,,26.0,,,,,PROD004,,,VENTA
96,,,,82,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
20,,Ferretería El Tornillo,10.0,84,,,24.0,,,,,PROD001,,,VENTA
25,,Ferretería El Tornillo,7.5,84,,,22.5,,,,,PROD002,,,VENTA
11,,Ferretería El Tornillo,1.1,84,,,4.4,,,,,PROD003,,,VENTA
100,,Construcciones Pérez,50.0,84,,,120.0,,,,,PROD001,,,VENTA
80,,Construcciones Pérez,8.0,84,,,32.0,,,,,PROD003,,,VENTA
77,,Construcciones Pérez,54.20800000000001,84,,,154.0,,,,,PROD004,,,VENTA
161,,Construcciones Pérez,8.05,84,,,24.15,,,,,PROD005,,,VENTA
7,,Taller Mecánico López,2.1,84,,,6.3,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,84,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,84,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,84,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
,29,Almacén Central (Interno),,85,,,,16,100.0,,,PROD001,,,DESABASTECIMIENTO
34,,Almacén Central (Interno),10.2,85,,,30.6,,,,,PROD002,,,VENTA
35,,Almacén Central (Interno),1.75,85,,,5.25,,,,,PROD005,,,VENTA
90,,,45.0,85,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,85,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
10,,Taller Mecánico López,3.0,86,,,9.0,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,86,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,86,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,86,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
90,,,,86,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,86,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
12,,Ferretería El Tornillo,6.0,87,,,14.399999999999999,,,,,PROD001,,,VENTA
13,,Ferretería El Tornillo,3.9,87,,,11.700000000000001,,,,,PROD002,,,VENTA
18,,Ferretería El Tornillo,1.8,87,,,7.2,,,,,PROD003,,,VENTA
108,,,32.4,87,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
90,,,,87,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,87,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
12,,Taller Mecánico López,3.5999999999999996,88,,,10.8,,,,,PROD002,,,VENTA
6,,Taller Mecánico López,4.224000000000001,88,,,12.0,,,,,PROD004,,,VENTA
108,,,32.4,88,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
90,,,,88,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,88,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
108,,,32.4,89,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
19,,Ferretería El Tornillo,9.5,90,,,22.8,,,,,PROD001,,,VENTA
15,,Ferretería El Tornillo,4.5,90,,,13.5,,,,,PROD002,,,VENTA
13,,Ferretería El Tornillo,1.3000000000000003,90,,,5.2,,,,,PROD003,,,VENTA
13,,Taller Mecánico López,3.9,90,,,11.700000000000001,,,,,PROD002,,,VENTA
7,,Taller Mecánico López,4.928000000000001,90,,,14.0,,,,,PROD004,,,VENTA
26,,Almacén Central (Interno),13.0,90,,,31.2,,,,,PROD001,,,VENTA
,32,Almacén Central (Interno),,90,,,,9,100.0,,,PROD002,,,DESABASTECIMIENTO
24,,Almacén Central (Interno),1.2000000000000002,90,,,3.5999999999999996,,,,,PROD005,,,VENTA
,390,Ferreterías del Norte,,90,,,,353,80.0,,,PROD003,,,DESABASTECIMIENTO
128,,Ferreterías del Norte,6.4,90,,,19.2,,,,,PROD005,,,VENTA
108,,,32.4,90,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
108,,,,90,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
92,,Construcciones Pérez,46.0,91,,,110.39999999999999,,,,,PROD001,,,VENTA
90,,Construcciones Pérez,9.0,91,,,36.0,,,,,PROD003,,,VENTA
152,,Construcciones Pérez,107.00800000000002,91,,,304.0,,,,,PROD004,,,VENTA
126,,Construcciones Pérez,6.300000000000001,91,,,18.9,,,,,PROD005,,,VENTA
96,,,67.58400000000002,91,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
108,,,,91,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
15,,Taller Mecánico López,4.5,92,,,13.5,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,92,,,16.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,92,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
108,,,,92,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
20,,Ferretería El Tornillo,10.0,93,,,24.0,,,,,PROD001,,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,93,,,10.8,,,,,PROD002,,,VENTA
14,,Ferretería El Tornillo,1.4000000000000001,93,,,5.6000000000000005,,,,,PROD003,,,VENTA
96,,,67.58400000000002,93,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
108,,,,93,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
96,,,,93,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
11,,Taller Mecánico López,3.3,94,,,9.9,,,,,PROD002,,,VENTA
12,,Taller Mecánico López,8.448000000000002,94,,,24.0,,,,,PROD004,,,VENTA
96,,,,94,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
33,,Almacén Central (Interno),16.5,95,,,39.6,,,,,PROD001,,,VENTA
31,,Almacén Central (Interno),9.299999999999999,95,,,27.900000000000002,,,,,PROD002,,,VENTA
28,,Almacén Central (Interno),1.4000000000000001,95,,,4.2,,,,,PROD005,,,VENTA
96,,,,95,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
20,,Ferretería El Tornillo,10.0,96,,,24.0,,,,,PROD001,,,VENTA
10,,Ferretería El Tornillo,3.0,96,,,9.0,,,,,PROD002,,,VENTA
19,,Ferretería El Tornillo,1.9,96,,,7.6000000000000005,,,,,PROD003,,,VENTA
11,,Taller Mecánico López,3.3,96,,,9.9,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,96,,,22.0,,,,,PROD004,,,VENTA
,149,Construcciones Pérez,,98,,,,64,90.0,,,PROD001,,,DESABASTECIMIENTO
82,,Construcciones Pérez,8.200000000000001,98,,,32.800000000000004,,,,,PROD003,,,VENTA
144,,Construcciones Pérez,101.37600000000002,98,,,288.0,,,,,PROD004,,,VENTA
124,,Construcciones Pérez,6.2,98,,,18.599999999999998,,,,,PROD005,,,VENTA
8,,Taller Mecánico López,2.4,98,,,7.2,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,98,,,18.0,,,,,PROD004,,,VENTA
17,,Ferretería El Tornillo,8.5,99,,,20.4,,,,,PROD001,,,VENTA
9,,Ferretería El Tornillo,2.6999999999999997,99,,,8.1,,,,,PROD002,,,VENTA
17,,Ferretería El Tornillo,1.7000000000000002,99,,,6.800000000000001,,,,,PROD003,,,VENTA
90,,,45.0,99,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
9,,Taller Mecánico López,2.6999999999999997,100,,,8.1,,,,,PROD002,,,VENTA
7,,Taller Mecánico López,4.928000000000001,100,,,14.0,,,,,PROD004,,,VENTA
32,,Almacén Central (Interno),16.0,100,,,38.4,,,,,PROD001,,,VENTA
28,,Almacén Central (Interno),8.4,100,,,25.2,,,,,PROD002,,,VENTA
34,,Almacén Central (Interno),1.7000000000000002,100,,,5.1,,,,,PROD005,,,VENTA
,246,Ferreterías del Norte,,100,,,,131,80.0,,,PROD003,,,DESABASTECIMIENTO
138,,Ferreterías del Norte,6.9,100,,,20.7,,,,,PROD005,,,VENTA
90,,,45.0,100,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,45.0,101,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,,101,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
12,,Ferretería El Tornillo,6.0,102,,,14.399999999999999,,,,,PROD001,,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,102,,,16.2,,,,,PROD002,,,VENTA
15,,Ferretería El Tornillo,1.5,102,,,6.0,,,,,PROD003,,,VENTA
11,,Taller Mecánico López,3.3,102,,,9.9,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,102,,,22.0,,,,,PROD004,,,VENTA
90,,,,102,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
90,,,,103,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
10,,Taller Mecánico López,3.0,104,,,9.0,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,104,,,16.0,,,,,PROD004,,,VENTA
10,,Ferretería El Tornillo,5.0,105,,,12.0,,,,,PROD001,,,VENTA
16,,Ferretería El Tornillo,4.8,105,,,14.4,,,,,PROD002,,,VENTA
18,,Ferretería El Tornillo,1.8,105,,,7.2,,,,,PROD003,,,VENTA
155,,Construcciones Pérez,77.5,105,,,186.0,,,,,PROD001,,,VENTA
,104,Construcciones Pérez,,105,,,,98,90.0,,,PROD003,,,DESABASTECIMIENTO
24,,Construcciones Pérez,16.896000000000004,105,,,48.0,,,,,PROD004,,,VENTA
129,,Construcciones Pérez,6.450000000000001,105,,,19.349999999999998,,,,,PROD005,,,VENTA
31,,Almacén Central (Interno),15.5,105,,,37.199999999999996,,,,,PROD001,,,VENTA
22,,Almacén Central (Interno),6.6,105,,,19.8,,,,,PROD002,,,VENTA
37,,Almacén Central (Interno),1.85,105,,,5.55,,,,,PROD005,,,VENTA
120,,,12.0,105,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
11,,Taller Mecánico López,3.3,106,,,9.9,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,106,,,20.0,,,,,PROD004,,,VENTA
120,,,12.0,106,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
120,,,12.0,107,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
120,,,,107,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
18,,Ferretería El Tornillo,9.0,108,,,21.599999999999998,,,,,PROD001,,,VENTA
15,,Ferretería El Tornillo,4.5,108,,,13.5,,,,,PROD002,,,VENTA
20,,Ferretería El Tornillo,2.0,108,,,8.0,,,,,PROD003,,,VENTA
9,,Taller Mecánico López,2.6999999999999997,108,,,8.1,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,108,,,20.0,,,,,PROD004,,,VENTA
120,,,,108,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
120,,,,109,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
9,,Taller Mecánico López,2.6999999999999997,110,,,8.1,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,110,,,20.0,,,,,PROD004,,,VENTA
31,,Almacén Central (Interno),15.5,110,,,37.199999999999996,,,,,PROD001,,,VENTA
26,,Almacén Central (Interno),7.8,110,,,23.400000000000002,,,,,PROD002,,,VENTA
35,,Almacén Central (Interno),1.75,110,,,5.25,,,,,PROD005,,,VENTA
153,,Ferreterías del Norte,15.3,110,,,61.2,,,,,PROD003,,,VENTA
,323,Ferreterías del Norte,,110,,,,201,80.0,,,PROD005,,,DESABASTECIMIENTO
90,,,45.0,110,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
20,,Ferretería El Tornillo,10.0,111,,,24.0,,,,,PROD001,,,VENTA
17,,Ferretería El Tornillo,5.1,111,,,15.3,,,,,PROD002,,,VENTA
11,,Ferretería El Tornillo,1.1,111,,,4.4,,,,,PROD003,,,VENTA
90,,,45.0,111,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
1,,Construcciones Pérez,0.5,112,,,1.2,,,,,PROD001,,,VENTA
78,,Construcciones Pérez,7.800000000000001,112,,,31.200000000000003,,,,,PROD003,,,VENTA
,147,Construcciones Pérez,,112,,,,60,90.0,,,PROD004,,,DESABASTECIMIENTO
58,,Construcciones Pérez,2.9000000000000004,112,,,8.7,,,,,PROD005,,,VENTA
9,,Taller Mecánico López,2.6999999999999997,112,,,8.1,,,,,PROD002,,,VENTA
12,,Taller Mecánico López,8.448000000000002,112,,,24.0,,,,,PROD004,,,VENTA
90,,,45.0,112,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
300,,,15.0,112,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
90,,,,112,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
300,,,15.0,113,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
90,,,,113,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
3,,Ferretería El Tornillo,1.5,114,,,3.5999999999999996,,,,,PROD001,,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,114,,,10.8,,,,,PROD002,,,VENTA
16,,Ferretería El Tornillo,1.6,114,,,6.4,,,,,PROD003,,,VENTA
11,,Taller Mecánico López,3.3,114,,,9.9,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,114,,,18.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,114,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,114,6,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
90,,,,114,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
32,,Almacén Central (Interno),16.0,115,,,38.4,,,,,PROD001,,,VENTA
26,,Almacén Central (Interno),7.8,115,,,23.400000000000002,,,,,PROD002,,,VENTA
24,,Almacén Central (Interno),1.2000000000000002,115,,,3.5999999999999996,,,,,PROD005,,,VENTA
96,,,67.58400000000002,115,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,115,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
13,,Taller Mecánico López,3.9,116,,,11.700000000000001,,,,,PROD002,,,VENTA
14,,Taller Mecánico López,9.856000000000002,116,,,28.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,116,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,116,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
300,,,,116,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
96,,,,116,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
18,,Ferretería El Tornillo,9.0,117,,,21.599999999999998,,,,,PROD001,,,VENTA
17,,Ferretería El Tornillo,5.1,117,,,15.3,,,,,PROD002,,,VENTA
17,,Ferretería El Tornillo,1.7000000000000002,117,,,6.800000000000001,,,,,PROD003,,,VENTA
108,,,32.4,117,4,,,,,,,PROD002,Suministros ABC,,PEDIDO
300,,,,117,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
96,,,,117,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
12,,Taller Mecánico López,3.5999999999999996,118,,,10.8,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,118,,,16.0,,,,,PROD004,,,VENTA
108,,,32.4,118,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
96,,,,118,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
100,,Construcciones Pérez,50.0,119,,,120.0,,,,,PROD001,,,VENTA
125,,Construcciones Pérez,12.5,119,,,50.0,,,,,PROD003,,,VENTA
120,,Construcciones Pérez,84.48000000000002,119,,,240.0,,,,,PROD004,,,VENTA
78,,Construcciones Pérez,3.9000000000000004,119,,,11.7,,,,,PROD005,,,VENTA
108,,,32.4,119,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,119,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
300,,,,119,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
11,,Ferretería El Tornillo,5.5,120,,,13.2,,,,,PROD001,,,VENTA
10,,Ferretería El Tornillo,3.0,120,,,9.0,,,,,PROD002,,,VENTA
13,,Ferretería El Tornillo,1.3,120,,,5.2,,,,,PROD003,,,VENTA
8,,Taller Mecánico López,2.4,120,,,7.2,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,120,,,22.0,,,,,PROD004,,,VENTA
33,,Almacén Central (Interno),16.5,120,,,39.6,,,,,PROD001,,,VENTA
,28,Almacén Central (Interno),,120,,,,15,100.0,,,PROD002,,,DESABASTECIMIENTO
33,,Almacén Central (Interno),1.6500000000000001,120,,,4.95,,,,,PROD005,,,VENTA
,32,Ferreterías del Norte,,120,,,,25,80.0,,,PROD003,,,DESABASTECIMIENTO
246,,Ferreterías del Norte,12.3,120,,,36.9,,,,,PROD005,,,VENTA
108,,,32.4,120,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,120,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
300,,,,120,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
300,,,,120,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
108,,,32.4,121,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,121,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
108,,,,121,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
108,,,,121,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
